,Unnamed: 0,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
150,603499.SH,翔港科技,2021-01-21 09:31:45,10.0,2,2190284.0,5.856353591160214,20210121,False,False,-10.0,-10.0,-10.0,-0.9655,1.1142,0.0,-30.9655
151,002176.SZ,江特电机,2021-01-21 09:33:45,5.0,3,8667800.0,4.310344827586207,20210121,False,False,4.9261,5.0078,5.0671,-0.9929,0.1433,-5.0,-0.0739
152,603058.SH,永吉股份,2021-01-21 09:36:30,10.0,2,1126752.0,9.079754601226997,20210121,False,False,10.0,10.0,-10.0,-10.0,10.0,0.0,10.0
153,002906.SZ,华阳集团,2021-01-21 10:03:16,10.0,2,723554.0,1.3880320789635896,20210121,False,False,-1.29,-4.5455,1.0417,2.8277,-1.2317,0.0,-1.29
154,003031.SZ,中瓷电子,2021-01-22 09:30:00,10.0,14,2783977.0,10.005265929436558,20210122,True,False,4.7152,1.8171,-10.0,-10.0,-8.5366,0.0,4.7152
155,601015.SH,陕西黑猫,2021-01-22 09:30:00,6.16666667,5,,9.999999999999996,20210122,True,False,10.0,10.0,-5.3178,-10.0,-6.3927,-3.83333333,10.848866669999998
156,002176.SZ,江特电机,2021-01-22 09:30:00,4.92610837,4,8977764.0,4.926108374384234,20210122,True,False,5.0078,5.0671,-0.9929,0.1433,-5.0072,-5.07389163,-0.0660916300000007
157,002943.SZ,宇晶股份,2021-01-22 09:30:00,7.25010725,4,,9.995709995710005,20210122,True,False,-10.0,-10.0,-10.0,-7.5699,-7.4184,-2.74989275,-40.31979275
158,003035.SZ,南网能源,2021-01-22 09:30:00,9.83606557,3,305797830.0,9.8360655737705,20210122,True,False,10.0,10.1695,10.1538,10.0,9.8985,-0.1639344299999994,50.05786557
159,605005.SH,合兴股份,2021-01-22 09:30:00,10.0,3,10033931.0,9.98201438848922,20210122,True,False,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
160,605228.SH,神通科技,2021-01-22 09:30:00,10.0,2,23300124.0,9.967845659163984,20210122,True,False,10.0,10.0,10.0,-10.0,-3.4988,0.0,16.5012
161,605018.SH,长华股份,2021-01-22 09:30:15,10.0,2,2849600.0,10.032786885245908,20210122,False,True,10.0,10.0,10.0,-10.0,-10.0,0.0,10.0
162,605255.SH,天普股份,2021-01-22 09:32:30,10.0,2,1455300.0,5.614230127848814,20210122,False,False,10.0,1.0565,10.0,-10.0,-10.0,0.0,11.0565
163,000558.SZ,莱茵体育,2021-01-22 09:33:00,-9.03954802,3,,6.497175141242938,20210122,False,False,-10.0,-5.8621,2.9304,-3.2028,1.1029,-19.03954802,-34.90164802
164,600844.SH,丹化科技,2021-01-22 09:34:00,-2.97619048,3,,5.158730158730155,20210122,False,False,-7.5665,10.0,10.0,6.0329,-10.0,-12.97619048,-20.54269048
165,603058.SH,永吉股份,2021-01-22 09:46:39,10.0,3,2692352.0,-3.0100334448160684,20210122,False,False,10.0,-10.0,-10.0,10.0,-10.0,0.0,-10.0
166,605155.SH,西大门,2021-01-22 11:15:20,10.0,2,1024281.0,4.976671850699849,20210122,False,False,10.0,-5.8162,0.3071,-10.0,10.0,0.0,4.1838
167,002192.SZ,融捷股份,2021-01-22 11:20:05,5.00615511,2,630900.0,1.9696347968814127,20210122,False,False,5.002,-4.3543,1.537,-0.9389,0.5803,-4.99384489,0.0081551099999996
168,600392.SH,盛和资源,2021-01-22 13:25:35,8.06451613,2,,2.6392961876832803,20210122,False,False,6.445,0.2549,-2.5429,-2.9354,8.2661,-1.9354838700000008,4.50951613
169,002176.SZ,江特电机,2021-01-25 09:30:00,5.00782473,5,19662120.0,5.00782472613459,20210125,True,False,5.0671,-0.9929,0.1433,-5.0072,-4.9699,-4.99217527,0.0749247300000002
170,003035.SZ,南网能源,2021-01-25 09:30:00,10.0,4,283990700.0,10.07462686567164,20210125,True,False,10.1695,10.1538,10.0,9.8985,10.0,0.0,40.2218
171,605005.SH,合兴股份,2021-01-25 09:30:00,10.0,4,7911383.0,9.975470155355673,20210125,True,False,10.0,10.0,10.0,-10.0,10.0,0.0,30.0
172,605228.SH,神通科技,2021-01-25 09:30:00,10.0,3,14240158.0,10.038986354775822,20210125,True,False,10.0,10.0,-10.0,-3.4988,-3.6256,0.0,6.5012
173,002584.SZ,西陇科学,2021-01-25 09:30:00,6.03829161,2,,10.014727540500733,20210125,True,False,-10.0,-6.0185,-5.0903,-2.9412,0.3565,-3.96170839,-19.98020839
174,605398.SH,新炬网络,2021-01-25 09:30:00,10.0,2,1291400.0,10.003356831151407,20210125,True,False,10.0,10.0,-10.0,-10.0,-1.4012,0.0,-1.4012
175,603058.SH,永吉股份,2021-01-25 09:30:15,10.0,4,4399754.0,10.03039513677812,20210125,False,True,-10.0,-10.0,10.0,-10.0,-9.8851,0.0,-29.8851
176,002192.SZ,融捷股份,2021-01-25 09:31:30,5.00195389,3,871350.0,4.904259476357948,20210125,False,False,-4.3543,1.537,-0.9389,0.5803,-2.0192,-4.99804611,-9.35234611
177,605018.SH,长华股份,2021-01-25 09:31:30,10.0,3,2759158.0,7.330154946364722,20210125,False,False,10.0,10.0,-10.0,-10.0,-10.0,0.0,-10.0
178,002645.SZ,华宏科技,2021-01-25 09:35:15,3.41013825,2,,1.84331797235024,20210125,False,False,-7.754,0.9662,6.4115,-10.0,-0.0999,-6.58986175,-14.34386175
179,605155.SH,西大门,2021-01-25 13:35:26,10.0,3,545237.0,2.50972074938141,20210125,False,False,-5.8162,0.3071,-10.0,10.0,10.0,0.0,-5.8162
180,002145.SZ,中核钛白,2021-01-25 14:31:06,6.32352941,2,,5.441176470588237,20210125,False,False,2.9046,5.1075,5.4987,-3.2727,-3.8847,-3.67647059,-0.7718705900000002
181,605255.SH,天普股份,2021-01-25 14:39:12,10.0,3,1696000.0,-0.9600808489135813,20210125,False,False,1.0565,10.0,-10.0,-10.0,4.4388,0.0,1.0565
182,003022.SZ,联泓新科,2021-01-25 14:39:43,10.0,2,1420072.0,5.603448275862071,20210125,False,False,0.3135,10.0,4.3324,-5.1055,0.4304,0.0,0.3135
183,002176.SZ,江特电机,2021-01-26 09:30:00,5.06706408,6,1618081.0,5.067064083457524,20210126,True,False,-0.9929,0.1433,-5.0072,-4.9699,-5.0713,-4.93293592,-5.92583592
184,003035.SZ,南网能源,2021-01-26 09:30:00,10.16949153,5,250572380.0,10.169491525423725,20210126,True,False,10.1538,10.0,9.8985,10.0,10.0,0.1694915300000001,30.22179153
185,605005.SH,合兴股份,2021-01-26 09:30:00,10.0,5,7978375.0,10.037174721189604,20210126,True,False,10.0,10.0,-10.0,10.0,10.0,0.0,30.0
186,605018.SH,长华股份,2021-01-26 09:30:00,10.0,4,1276800.0,10.021668472372683,20210126,True,False,10.0,-10.0,-10.0,-10.0,-1.7802,0.0,-21.7802
187,605228.SH,神通科技,2021-01-26 09:30:00,10.0,4,12040147.0,10.008857395925606,20210126,True,False,10.0,-10.0,-3.4988,-3.6256,10.0,0.0,-3.4988
188,605398.SH,新炬网络,2021-01-26 09:30:00,10.0,3,2970197.0,9.993896856881287,20210126,True,False,10.0,-10.0,-10.0,-1.4012,-9.8689,0.0,-11.4012
189,002256.SZ,兆新股份,2021-01-26 09:30:00,-5.10948905,2,,5.109489051094879,20210126,True,False,-4.6154,4.8387,5.3846,5.1095,4.8611,-15.10948905,-19.72488905
190,600421.SH,华嵘控股,2021-01-26 09:30:00,5.04731861,2,137400.0,5.047318611987387,20210126,True,False,3.1031,-2.6214,-2.2931,2.2449,4.99,-4.95268139,-1.8495813900000004
191,002681.SZ,奋达科技,2021-01-26 09:32:45,0.0,2,,2.362204724409451,20210126,False,True,0.9843,-5.0682,-4.1068,4.9251,2.6531,-10.0,-9.0157
192,002529.SZ,海源复材,2021-01-26 09:34:00,4.93653032,2,807565.0,2.961918194640338,20210126,False,False,4.9731,-4.9936,-4.9865,-4.1135,1.0355,-5.06346968,-0.0903696800000002
193,605155.SH,西大门,2021-01-26 10:12:34,-5.81619537,4,,3.7275064267352183,20210126,False,False,0.3071,-10.0,10.0,10.0,10.0,-15.81619537,-15.50909537
194,003035.SZ,南网能源,2021-01-27 09:30:00,10.15384615,6,369572730.0,10.153846153846157,20210127,True,False,10.0,9.8985,10.0,10.0,10.0,0.1538461499999996,20.05234615
195,605005.SH,合兴股份,2021-01-27 09:30:00,10.0,6,14899289.0,10.000000000000004,20210127,True,False,10.0,-10.0,10.0,10.0,-8.5128,0.0,11.4872
196,605228.SH,神通科技,2021-01-27 09:30:00,10.0,5,11453252.0,9.98389694041868,20210127,True,False,-10.0,-3.4988,-3.6256,10.0,-9.6261,0.0,-13.4988
197,605398.SH,新炬网络,2021-01-27 09:30:00,10.0,4,2763592.0,10.001387154945196,20210127,True,False,-10.0,-10.0,-1.4012,-9.8689,-8.0764,0.0,-21.4012
198,000408.SZ,藏格矿业,2021-01-27 09:30:00,5.05494505,2,2462000.0,5.0549450549450645,20210127,True,False,1.1506,-4.9638,-4.5702,2.8506,-0.9978,-4.94505495,-3.79445495
199,601619.SH,嘉泽新能,2021-01-27 09:30:00,10.0,2,29457100.0,10.000000000000004,20210127,True,False,10.0,-10.0,-10.0,-7.438,-1.7857,0.0,-17.438
200,000691.SZ,亚太实业,2021-01-27 09:30:15,10.0,2,,9.747899159663866,20210127,False,True,-10.0,-10.0,-10.0,-5.4393,-3.7611,0.0,-35.4393
201,600792.SH,云煤能源,2021-01-27 09:31:00,1.14942529,2,,5.74712643678161,20210127,False,False,-10.0,-10.101,2.5281,-5.4795,-2.029,-8.85057471,-26.423474710000004
202,002529.SZ,海源复材,2021-01-27 09:32:45,4.97311828,3,697150.0,4.569892473118277,20210127,False,False,-4.9936,-4.9865,-4.1135,1.0355,-4.0996,-5.02688172,-10.02048172
203,605183.SH,确成股份,2021-01-27 09:34:45,10.0,2,901416.0,0.0,20210127,False,False,-10.0,-10.0,-3.6643,1.8405,1.6265,0.0,-23.6643
204,605018.SH,长华股份,2021-01-27 09:35:45,10.0,5,3673566.0,-0.2954209748892109,20210127,False,False,-10.0,-10.0,-10.0,-1.7802,2.5,0.0,-31.7802
205,003035.SZ,南网能源,2021-01-28 09:30:00,10.0,7,356867310.0,10.055865921787705,20210128,True,False,9.8985,10.0,10.0,10.0,10.0,0.0,9.8985
206,605005.SH,合兴股份,2021-01-28 09:30:00,10.0,7,18086590.0,10.012285012285004,20210128,True,False,-10.0,10.0,10.0,-8.5128,-10.0,0.0,1.4871999999999996
207,605228.SH,神通科技,2021-01-28 09:30:00,-10.0,6,,10.029282576866756,20210128,True,False,-3.4988,-3.6256,10.0,-9.6261,-10.0,-20.0,-23.4988
208,600228.SH,返利科技,2021-01-28 09:30:00,5.0,2,15000.0,5.00000000000001,20210128,True,False,4.9689,1.8738,2.9042,-3.7629,-2.4438,-5.0,-0.0311000000000003
209,600576.SH,祥源文化,2021-01-28 09:30:00,10.0,2,15886297.0,10.077519379844954,20210128,True,False,10.0,10.0,-10.0,10.0,-10.0,0.0,10.0
210,002529.SZ,海源复材,2021-01-28 09:30:15,-4.99359795,4,,4.993597951344427,20210128,False,True,-4.9865,-4.1135,1.0355,-4.0996,-3.2061,-14.99359795,-19.98009795
211,603366.SH,日出东方,2021-01-28 09:31:00,3.44827586,2,,9.98185117967332,20210128,False,False,-10.0,-7.6023,-2.5316,1.7316,10.0,-6.55172414,-24.15402414
212,002121.SZ,科陆电子,2021-01-28 09:32:00,-2.53164557,2,,5.06329113924051,20210128,False,False,-4.9351,4.918,-0.2604,-3.3943,-4.0541,-12.53164557,-17.46674557
213,603178.SH,圣龙股份,2021-01-28 09:32:00,-1.96483971,2,,5.480868665977242,20210128,False,False,-10.0,-5.8617,-3.6115,-1.5504,1.4436,-11.96483971,-27.82653971
214,601619.SH,嘉泽新能,2021-01-28 09:40:02,10.0,3,23887499.0,4.422604422604415,20210128,False,False,-10.0,-10.0,-7.438,-1.7857,-4.5455,0.0,-27.438
215,002331.SZ,皖通科技,2021-01-28 10:12:49,-0.66445183,2,,-0.3322259136212672,20210128,False,False,-10.0,10.0,10.0,10.0,3.7388,-10.66445183,13.07434817
216,000408.SZ,藏格矿业,2021-01-28 11:04:09,1.15062762,3,,0.0,20210128,False,False,-4.9638,-4.5702,2.8506,-0.9978,-0.5599,-8.84937238,-13.81317238
217,601127.SH,小康股份,2021-01-28 14:08:01,10.0,2,613720.0,0.0,20210128,False,False,-10.0,-10.0,-7.6645,-1.8301,-5.992,0.0,-27.6645
218,600844.SH,丹化科技,2021-01-28 14:33:05,6.03290676,2,,1.8281535648994611,20210128,False,False,-10.0,10.0,-1.7422,-3.0142,-5.6673,-3.96709324,-5.709293240000001
219,003035.SZ,南网能源,2021-01-29 09:30:00,9.89847716,8,319362060.0,9.89847715736041,20210129,True,False,10.0,10.0,10.0,10.0,10.0,-0.1015228399999994,49.89847716
220,600576.SH,祥源文化,2021-01-29 09:30:15,10.0,3,7617800.0,10.093896713615038,20210129,False,True,10.0,-10.0,10.0,-10.0,-10.0,0.0,-10.0
221,601619.SH,嘉泽新能,2021-01-29 09:30:30,-10.0,4,,6.919642857142848,20210129,False,False,-10.0,-7.438,-1.7857,-4.5455,-2.8571,-20.0,-37.438
222,600869.SH,远东股份,2021-01-29 09:32:00,-6.64893617,2,,2.659574468085109,20210129,False,False,-8.2621,0.0,1.2422,-3.681,-0.9554,-16.64893617,-24.91103617
223,601216.SH,君正集团,2021-01-29 10:33:55,10.0,2,12063164.0,1.872659176029973,20210129,False,False,-2.8961,10.0,0.9569,-6.1611,-7.7441,0.0,-2.8961
224,600228.SH,返利科技,2021-01-29 13:22:22,4.9689441,3,503599.0,0.0,20210129,False,False,1.8738,2.9042,-3.7629,-2.4438,1.2024,-5.0310559,-3.1572559
225,003035.SZ,南网能源,2021-02-01 09:30:00,10.0,9,102511044.0,9.930715935334868,20210201,True,False,10.0,10.0,10.0,10.0,6.1693,0.0,46.1693
226,000996.SZ,中国中期,2021-02-01 09:30:00,10.0,2,4671398.0,10.011123470522806,20210201,True,False,-3.8423,-7.4658,10.0,-1.0331,-7.8288,0.0,-3.8423
227,003036.SZ,泰坦股份,2021-02-01 09:30:00,10.0,2,27315117.0,10.044150110375275,20210201,True,False,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
228,600576.SH,祥源文化,2021-02-01 09:30:27,10.0,4,5372819.0,6.823027718550093,20210201,False,True,-10.0,10.0,-10.0,-10.0,-10.0,0.0,-30.0
229,603016.SH,新宏泰,2021-02-01 09:31:04,10.0,2,695000.0,5.773468488320841,20210201,False,False,10.0,-9.3227,3.6546,3.332,-1.6123,0.0,0.6773000000000007
230,002256.SZ,兆新股份,2021-02-01 10:06:53,5.10948905,2,4922744.0,0.7299270072992544,20210201,False,False,4.8611,-5.298,4.8951,5.3333,-1.2658,-4.89051095,-0.0294109499999999
231,002280.SZ,联络互动,2021-02-01 10:09:53,0.0,2,,-1.0526315789473697,20210201,False,False,-3.1579,4.8913,1.5544,-5.102,4.8387,-10.0,-13.1579
232,003035.SZ,南网能源,2021-02-02 09:30:00,10.0,10,126353729.0,10.084033613445389,20210202,True,False,10.0,10.0,10.0,6.1693,10.0,0.0,36.1693
233,003036.SZ,泰坦股份,2021-02-02 09:30:00,10.0,3,8684277.0,10.030090270812437,20210202,True,False,10.0,10.0,10.0,-10.0,-3.9544,0.0,16.0456
234,603843.SH,正平股份,2021-02-02 09:30:00,10.0,2,8914975.0,9.976247030878858,20210202,True,False,-10.0,-9.8321,1.8617,-4.6997,-0.5479,0.0,-19.8321
235,605055.SH,迎丰股份,2021-02-02 09:30:00,10.0,2,5597641.0,9.960681520314555,20210202,True,False,10.0,10.0,-10.0,-5.9081,-3.7209,0.0,4.0919
236,002256.SZ,兆新股份,2021-02-02 09:30:45,4.86111111,3,10457296.0,4.166666666666671,20210202,False,True,-5.298,4.8951,5.3333,-1.2658,-4.4872,-5.13888889,-10.43688889
237,002360.SZ,同德化工,2021-02-02 09:33:00,10.0,2,5225147.0,6.397306397306401,20210202,False,False,1.9388,10.0,-10.0,-4.1456,2.5316,0.0,1.9388
238,603016.SH,新宏泰,2021-02-02 09:35:30,10.0,3,1743421.0,2.3637820512820507,20210202,False,False,-9.3227,3.6546,3.332,-1.6123,0.0762,0.0,-9.3227
239,000890.SZ,法尔胜,2021-02-02 14:00:06,4.96277916,2,700398.0,-0.2481389578163939,20210202,False,False,4.9645,4.955,4.9356,4.908,5.0682,-5.03722084,-0.0727208399999996
240,605155.SH,西大门,2021-02-02 14:53:52,10.0,2,213450.0,2.6858213616489675,20210202,False,False,-0.7666,-10.0,-10.0,-10.0,0.2747,0.0,-0.7666
241,003035.SZ,南网能源,2021-02-03 09:30:00,10.0,11,94390437.0,9.923664122137396,20210203,True,False,10.0,10.0,6.1693,10.0,-10.0,0.0,26.1693
242,002256.SZ,兆新股份,2021-02-03 09:30:00,-5.29801325,4,,5.298013245033117,20210203,True,False,4.8951,5.3333,-1.2658,-4.4872,1.3423,-15.29801325,-10.40291325
243,003036.SZ,泰坦股份,2021-02-03 09:30:00,10.0,4,25399101.0,10.027347310847764,20210203,True,False,10.0,10.0,-10.0,-3.9544,-10.0,0.0,6.0456
244,605055.SH,迎丰股份,2021-02-03 09:30:00,10.0,3,594608.0,10.011918951132298,20210203,True,False,10.0,-10.0,-5.9081,-3.7209,4.7101,0.0,-5.9081
245,600280.SH,中央商场,2021-02-03 09:30:00,0.0,2,,5.078124999999996,20210203,True,False,-1.9531,0.3984,1.1905,-1.1765,2.381,-10.0,-11.9531
246,002445.SZ,中南文化,2021-02-03 09:31:00,0.55248619,2,,2.2099447513812174,20210203,False,True,-1.0989,2.2222,-1.087,-2.7473,1.6949,-9.44751381,-10.54641381
247,002360.SZ,同德化工,2021-02-03 09:31:15,1.93877551,3,,9.18367346938774,20210203,False,False,10.0,-10.0,-4.1456,2.5316,-10.0,-8.06122449,-12.20682449
248,600545.SH,卓郎智能,2021-02-03 09:32:00,-6.26780627,2,,2.5641025641025728,20210203,False,False,-10.0,-1.0135,-2.7304,3.1579,0.6803,-16.26780627,-27.28130627
249,600702.SH,舍得酒业,2021-02-03 09:37:00,5.00563134,2,623726.0,2.615442372669257,20210203,False,False,1.013,5.0024,-1.0337,-1.2262,-2.4368,-4.99436866,-3.98136866
250,000890.SZ,法尔胜,2021-02-03 10:02:00,4.96453901,3,123785.0,0.4728132387706754,20210203,False,False,4.955,4.9356,4.908,5.0682,-5.0093,-5.03546099,-0.0804609899999997
251,601015.SH,陕西黑猫,2021-02-03 10:12:00,10.0,2,5798495.0,-5.77181208053692,20210203,False,False,10.0,-9.7561,10.0,10.0,-1.4213,0.0,0.2439
252,002331.SZ,皖通科技,2021-02-03 13:06:12,10.0,2,437298.0,1.2891344383057144,20210203,False,False,3.7388,-10.0,-10.0,-10.0,-10.0,0.0,3.7388
253,003000.SZ,劲仔食品,2021-02-03 14:51:11,10.0,2,247900.0,0.0,20210203,False,False,10.0,-1.8277,-6.9149,2.8571,10.0,0.0,8.1723
254,003035.SZ,南网能源,2021-02-04 09:30:00,10.0,12,72248483.0,10.069444444444446,20210204,True,False,10.0,6.1693,10.0,-10.0,-2.0464,0.0,16.1693
255,003036.SZ,泰坦股份,2021-02-04 09:30:00,10.0,5,35680224.0,10.0248550124275,20210204,True,False,10.0,-10.0,-3.9544,-10.0,-2.0229,0.0,-3.9544
256,002289.SZ,宇顺电子,2021-02-04 09:30:00,-0.25940337,3,,5.05836575875486,20210204,True,False,-4.9415,-5.0616,-5.0432,-3.1866,2.0376,-10.25940337,-15.20090337
257,600055.SH,万东医疗,2021-02-04 09:30:00,10.0,2,24650880.0,9.973285841495985,20210204,True,False,10.0,2.4283,10.0,-8.1646,-2.7027,0.0,12.4283
258,600702.SH,舍得酒业,2021-02-04 09:32:00,1.01299011,3,,4.755094744368978,20210204,False,True,5.0024,-1.0337,-1.2262,-2.4368,-4.9953,-8.98700989,-3.98460989
259,002341.SZ,新纶新材,2021-02-04 09:33:00,-2.21606648,2,,3.3240997229916927,20210204,False,False,-10.0,-9.434,4.1667,10.0,2.1212,-12.21606648,-31.65006648
260,601015.SH,陕西黑猫,2021-02-04 09:33:45,10.0,3,7967735.0,5.609756097560987,20210204,False,False,-9.7561,10.0,10.0,-1.4213,10.0,0.0,-9.7561
261,000572.SZ,海马汽车,2021-02-04 09:46:15,5.10948905,2,,2.189781021897796,20210204,False,False,-3.125,0.3584,0.3571,-1.4235,5.0542,-4.89051095,-8.01551095
262,605055.SH,迎丰股份,2021-02-04 09:50:00,10.0,4,2461591.0,-6.825568797399791,20210204,False,False,-10.0,-5.9081,-3.7209,4.7101,10.0,0.0,-15.9081
263,600166.SH,福田汽车,2021-02-04 10:05:17,5.68862275,2,,1.49700598802396,20210204,False,False,-3.3994,0.0,10.0,2.1333,5.483,-4.31137725,-7.71077725
264,003000.SZ,劲仔食品,2021-02-04 13:00:22,10.0,3,1396916.0,2.2400919012062066,20210204,False,False,-1.8277,-6.9149,2.8571,10.0,-10.0,0.0,-1.8277
265,000890.SZ,法尔胜,2021-02-04 14:08:52,4.95495495,4,1216300.0,0.4504504504504408,20210204,False,False,4.9356,4.908,5.0682,-5.0093,-5.0781,-5.04504505,-0.1094450499999997
266,003036.SZ,泰坦股份,2021-02-05 09:30:00,10.0,6,27982140.0,10.015060240963855,20210205,True,False,-10.0,-3.9544,-10.0,-2.0229,2.4237,0.0,-13.9544
267,600055.SH,万东医疗,2021-02-05 09:30:00,10.0,3,18768000.0,10.040485829959517,20210205,True,False,2.4283,10.0,-8.1646,-2.7027,-3.5088,0.0,2.4283
268,003035.SZ,南网能源,2021-02-05 09:30:30,10.0,13,51116840.0,5.678233438485809,20210205,False,True,6.1693,10.0,-10.0,-2.0464,-6.6852,0.0,6.1693
269,003000.SZ,劲仔食品,2021-02-05 09:35:45,-1.82767624,4,,7.467362924281983,20210205,False,False,-6.9149,2.8571,10.0,-10.0,-9.6521,-11.82767624,-18.74257624
270,000890.SZ,法尔胜,2021-02-05 10:01:31,4.93562232,5,915600.0,1.931330472103001,20210205,False,False,4.908,5.0682,-5.0093,-5.0781,-4.9383,-5.06437768,-0.1563776799999994
271,600315.SH,上海家化,2021-02-05 14:10:20,8.22323462,2,,2.6423690205011474,20210205,False,False,3.494,0.183,4.4458,2.7794,-1.2859,-1.7767653800000005,1.7172346199999995
272,000812.SZ,陕西金叶,2021-02-05 14:25:08,0.24509804,2,,1.715686274509811,20210205,False,False,-8.802,3.7534,-6.7183,4.9861,5.5409,-9.75490196,-18.55690196
273,003036.SZ,泰坦股份,2021-02-08 09:30:00,-10.0,7,,9.993155373032176,20210208,True,False,-3.9544,-10.0,-2.0229,2.4237,-2.0158,-20.0,-23.9544
274,000908.SZ,景峰医药,2021-02-08 09:30:00,10.0,2,2695980.0,9.927360774818403,20210208,True,False,-2.2026,-9.6847,5.7357,0.2358,0.2353,0.0,-2.2026
275,003037.SZ,三和管桩,2021-02-08 09:30:00,10.0,2,5752229.0,9.99010880316518,20210208,True,False,10.0,3.0253,10.0,-2.2367,4.6494,0.0,13.0253
276,003035.SZ,南网能源,2021-02-08 09:30:30,6.16929699,14,,9.756097560975618,20210208,False,True,10.0,-10.0,-2.0464,-6.6852,1.3433,-3.83070301,-5.87710301
277,000890.SZ,法尔胜,2021-02-08 09:32:45,4.90797546,6,4138598.0,4.703476482617596,20210208,False,False,5.0682,-5.0093,-5.0781,-4.9383,1.0823,-5.09202454,-0.0238245399999996
278,002532.SZ,天山铝业,2021-02-08 09:58:45,10.0,2,4627160.0,0.1184834123222723,20210208,False,False,10.0,-10.0,10.0,10.0,10.0,0.0,30.0
279,000890.SZ,法尔胜,2021-02-09 09:30:00,5.06822612,7,2016469.0,,20210209,True,False,-5.0093,-5.0781,-4.9383,1.0823,-4.9251,-4.93177388,-9.94107388
280,003037.SZ,三和管桩,2021-02-09 09:30:00,10.0,3,8112829.0,,20210209,True,False,3.0253,10.0,-2.2367,4.6494,-6.6996,0.0,3.0253
281,000711.SZ,京蓝科技,2021-02-09 09:30:00,10.24390244,2,23123117.0,,20210209,True,False,10.177,10.0,9.854,10.0,-10.0,0.2439024399999994,30.27490244
282,600916.SH,中国黄金,2021-02-09 09:30:00,10.0,2,27867330.0,,20210209,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
283,000892.SZ,欢瑞世纪,2021-02-09 09:30:30,9.88593156,2,13488099.0,,20210209,False,True,10.0,8.805,-10.1156,1.6077,-9.4937,-0.1140684400000004,18.69093156
284,000428.SZ,华天酒店,2021-02-09 09:35:31,-0.34965035,2,,,20210209,False,False,-4.9123,-1.107,2.9851,-0.7246,-0.7299,-10.34965035,-15.26195035
285,002532.SZ,天山铝业,2021-02-09 09:38:31,10.0,3,4112220.0,,20210209,False,False,-10.0,10.0,10.0,10.0,3.0253,0.0,23.0253
286,000890.SZ,法尔胜,2021-02-10 09:30:00,-5.00927644,8,,5.009276437847875,20210210,True,False,-5.0781,-4.9383,1.0823,-4.9251,-3.1532,-15.00927644,-20.08737644
287,003037.SZ,三和管桩,2021-02-10 09:30:00,3.02534751,4,,9.975470155355673,20210210,True,False,10.0,-2.2367,4.6494,-6.6996,-5.6689,-6.97465249,0.7886475099999997
288,000711.SZ,京蓝科技,2021-02-10 09:30:00,10.17699115,3,16321498.0,10.1769911504425,20210210,True,False,10.0,9.854,10.0,-10.0,-8.3893,0.1769911499999992,20.03099115
289,600916.SH,中国黄金,2021-02-10 09:30:00,10.0,3,21236266.0,10.000000000000012,20210210,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
290,600722.SH,金牛化工,2021-02-10 09:30:00,10.0,2,10885827.0,10.021321961620462,20210210,True,False,10.0,10.0,10.0,10.0,-6.605,0.0,33.395
291,605337.SH,李子园,2021-02-10 09:30:00,10.0,2,2038180.0,10.015748031496065,20210210,True,False,10.0,4.2166,-5.6943,-6.3824,-6.6478,0.0,14.2166
292,600877.SH,声光电科,2021-02-10 09:31:15,4.5941807,2,,3.9816232771822326,20210210,False,True,-3.6603,1.0638,-3.3083,4.9767,2.0,-5.4058193,-9.0661193
293,000892.SZ,欢瑞世纪,2021-02-10 09:43:00,10.0,3,7491660.0,4.498269896193768,20210210,False,False,8.805,-10.1156,1.6077,-9.4937,-1.3986,0.0,8.805
294,000711.SZ,京蓝科技,2021-02-18 09:30:00,10.0,4,13305480.0,10.04016064257028,20210218,True,False,9.854,10.0,-10.0,-8.3893,-4.0293,0.0,9.854
